"Código";"Descrição";"Categoria";"Fabricante";"Modelo";"Unidade";"Valor total";"Fonte"
"4570042";"Câmera CFTV Dome VIPC 1230 D G2";"Câmeras IP";"Intelbras";"";"un";"225,65";"EXSAT"
"4560094";"Câmera Dome VHD 1220 D Full Color Intelbras";"Câmera Multi HD";"Intelbras";"";"un";"146,39";"EXSAT"
"4564068";"Câmera Bullet VIP 3230 B SL G3 Intelbras IP 2MP";"Câmeras IP";"Intelbras";"";"un";"299,99";"EXSAT"
"4560051";"Câmera Dome CFTV VHL 1120 D G2 Intelbras";"Câmera HDVCI";"Intelbras";"";"un";"88,66";"EXSAT"
"4590016";"Câmera Im7 S Intelbras Full Color Wi-Fi 360 Externa";"Câmeras Wifi";"Intelbras";"";"un";"299,90";"EXSAT"
"4678100";"Mola Hidráulica Aérea MH 102 A para 45KG";"Mola Hidraulica";"Intelbras";"";"un";"131,11";"EXSAT"
"4520808";"Modulo Interno Videporteiro IVR1010MI Intelbras";"Videoporteiro";"Intelbras";"";"un";"384,42";"EXSAT"
"4671003";"Fechadura Eletroímã FE 150 Inox 12V Sem Sensor";"Fechadura Eletroímã";"Intelbras";"";"un";"327,30";"EXSAT"
"4501307";"Terminal Dedicado Porteiro Eletrônico XPE1013 ID";"Porteiro Eletrônico";"Intelbras";"";"un";"649,60";"EXSAT"
"000000000010006970";"Motor Basculante Gatter Plus STD 220V Nice - Alta Velocidade e Proteção";"Motores para portões";"Intelbras";"";"un";"514,99";"EXSAT"
"4842857";"Conector MC4 FM MC 1Via 1.5kV 45A (Par) para Sistemas Fotovoltaicos";"Cabos e Acessórios";"Intelbras";"";"un";"18,73";"EXSAT"
"4849840";"Cabo Solar Preto 1,5KV DC 4mm";"Cabos e Acessórios";"Intelbras";"";"un";"7,10";"EXSAT"
"4842811";"Arandela Solar Integrada ASI 220 Luz Branca";"Estrutura";"Intelbras";"";"un";"80,99";"EXSAT"
"4842810";"Arandela Solar Integrada ASI 220 Luz Amarela";"Estrutura";"Intelbras";"";"un";"80,99";"EXSAT"
"4821001";"Bateria VRLA 12V 6Ah XB 12AL Intelbras";"Baterias e Acessórios";"Intelbras";"";"un";"79,82";"EXSAT"
"4580771";"Gravador Digital de Vídeo MHDX 3108-C";"DVR Stand Alone 8 canais";"Intelbras";"";"un";"718,77";"EXSAT"
"4580778";"Gravador Dig 16 Canais Imhdx 3116 Intelbras";"DVR Stand Alone 16 canais";"Intelbras";"";"un";"1550,53";"EXSAT"
"4580716";"Gravador Digital de Vídeo MHDX 1116-C HD 2TB";"DVR Stand Alone 16 canais";"Intelbras";"";"un";"1693,71";"EXSAT"
"4581218";"Gravador Digital de Vídeo em Rede 16 Canais NVD 1516";"NVR 16 Canais";"Intelbras";"";"un";"959,76";"EXSAT"
"4581164";"Gravador Digital de Vídeo em Rede iNVD 3032";"DVR Stand Alone 32 canais";"Intelbras";"";"un";"2585,03";"EXSAT"
"4201251";"Telefone IP Intelbras TIP 125i";"Telefones";"Intelbras";"";"un";"233,68";"EXSAT"
"0006";"Esticador FE Preto para Cabos de Telefonia e Internet | Alta Resistência";"Acessórios e Peças";"Intelbras";"";"un";"0,93";"EXSAT"
